No	Grp	Name	Type	Area [mm²]	Pos[mm]	od	od/mm²	od-Bkg	(od-Bkg)/mm²
1	0		LocBkg	6.04	(12.83/61.77)	26002.00	4307.56	16613.07	2752.16
2	0		LocBkg	6.04	(17.33/61.9)	7336.00	1215.30	762.52	126.32
3	0		LocBkg	6.04	(22.22/61.77)	10603.00	1756.52	3614.70	598.82
4	0		LocBkg	6.04	(26.85/61.77)	15273.00	2530.16	7377.02	1222.10
5	0		LocBkg	6.04	(31.61/61.51)	20685.00	3426.73	11871.07	1966.59
6	0		LocBkg	6.04	(36.24/61.51)	32184.00	5331.69	21632.75	3583.74
7	0		LocBkg	6.04	(41.01/61.51)	45380.00	7517.77	32424.02	5371.45
8	0		LocBkg	6.04	(45.63/61.51)	45497.00	7537.15	31920.84	5288.09
9	0		LocBkg	6.04	(12.83/58.2)	9826.00	1627.80	320.02	53.01
10	0		LocBkg	6.04	(17.59/58.33)	36132.00	5985.72	22750.93	3768.98
11	0		LocBkg	6.04	(22.35/58.47)	28319.00	4691.40	16784.09	2780.50
12	0		LocBkg	6.04	(26.98/58.47)	37614.00	6231.23	23401.23	3876.71
13	0		LocBkg	6.04	(31.61/58.47)	30435.00	5041.94	16953.30	2808.53
14	0		LocBkg	6.04	(36.24/58.33)	21011.00	3480.74	7512.87	1244.60
15	0		LocBkg	6.04	(40.87/58.47)	16813.00	2785.29	2904.16	481.11
16	0		LocBkg	6.04	(45.37/58.47)	14235.00	2358.21	1771.87	293.53
-	0		Sum	96.58	--	397345.00	4114.08	218614.46	2263.52
-	0		Ttl	7739.99	--	8009125.00	1034.77	8009125.00	1034.77
