No	Grp	Name	Type	Area [mm²]	Pos[mm]	od	od/mm²	od-Bkg	(od-Bkg)/mm²
1	0		LocBkg	7.35	(58.6/58.2)	47562.00	6472.24	34972.94	4759.12
2	0		LocBkg	7.35	(63.23/58.47)	10391.00	1414.01	2257.88	307.25
3	0		LocBkg	7.35	(67.72/58.47)	26189.00	3563.80	17379.94	2365.06
4	0		LocBkg	7.35	(72.35/58.73)	16313.00	2219.87	8304.56	1130.08
5	0		LocBkg	7.35	(76.98/58.6)	36291.00	4938.48	26633.19	3624.24
6	0		LocBkg	7.35	(81.75/58.73)	44041.00	5993.10	33285.06	4529.43
7	0		LocBkg	7.35	(86.24/58.86)	46086.00	6271.38	34352.25	4674.65
8	0		LocBkg	7.35	(90.87/58.99)	44329.00	6032.29	33750.25	4592.73
9	0		LocBkg	7.35	(58.6/54.76)	12145.00	1652.69	1443.75	196.47
10	0		LocBkg	7.35	(63.36/54.76)	55270.00	7521.14	40955.00	5573.16
11	0		LocBkg	7.35	(67.72/55.03)	43963.00	5982.48	30205.81	4110.41
12	0		LocBkg	7.35	(72.35/55.16)	49067.00	6677.04	34861.38	4743.94
13	0		LocBkg	7.35	(76.98/55.16)	47591.00	6476.18	32735.69	4454.67
14	0		LocBkg	7.35	(81.75/55.69)	15612.00	2124.48	4072.94	554.25
15	0		LocBkg	7.35	(86.38/55.95)	15232.00	2072.77	3373.56	459.07
16	0		LocBkg	7.35	(90.87/55.82)	12685.00	1726.17	3580.63	487.25
-	0		Sum	117.58	--	522767.00	4446.13	342164.81	2910.11
-	0		Ttl	7739.99	--	5937468.00	767.12	5937468.00	767.12
