No	Grp	Name	Type	Area [mm²]	Pos[mm]	od	od/mm²	od-Bkg	(od-Bkg)/mm²
1	0		LocBkg	7.61	(59.66/61.9)	50260.00	6603.54	33319.92	4377.82
2	0		LocBkg	7.61	(64.29/61.9)	12863.00	1690.04	1065.89	140.04
3	0		LocBkg	7.61	(68.92/62.17)	20071.00	2637.08	7489.98	984.09
4	0		LocBkg	7.61	(73.68/62.3)	20003.00	2628.15	7383.47	970.10
5	0		LocBkg	7.61	(78.31/62.43)	42343.00	5563.34	27849.80	3659.12
6	0		LocBkg	7.61	(82.94/62.57)	42753.00	5617.21	27784.02	3650.47
7	0		LocBkg	7.61	(87.7/62.57)	39604.00	5203.47	25774.62	3386.47
8	0		LocBkg	7.61	(92.33/62.7)	38682.00	5082.33	26017.16	3418.33
9	0		LocBkg	7.61	(59.79/58.6)	18512.00	2432.25	1198.09	157.41
10	0		LocBkg	7.61	(64.29/58.6)	55019.00	7228.81	36141.81	4748.59
11	0		LocBkg	7.61	(68.92/58.99)	50024.00	6572.53	30376.50	3991.09
12	0		LocBkg	7.61	(73.54/59.13)	48031.00	6310.68	27751.39	3646.19
13	0		LocBkg	7.61	(78.31/59.52)	24850.00	3264.98	7318.59	961.57
14	0		LocBkg	7.61	(82.8/59.66)	29890.00	3927.17	10292.34	1352.29
15	0		LocBkg	7.61	(87.7/59.66)	18941.00	2488.61	2839.20	373.04
16	0		LocBkg	7.61	(92.2/59.92)	24196.00	3179.05	9265.53	1217.38
-	0		Sum	121.78	--	536042.00	4401.83	281868.33	2314.62
-	0		Ttl	7739.99	--	8009125.00	1034.77	8009125.00	1034.77
