No	Grp	Name	Type	Area [mm²]	Pos[mm]	od	od/mm²	od-Bkg	(od-Bkg)/mm²
1	0		LocBkg	9.82	(24.74/46.56)	61849.00	6301.06	45078.74	4592.53
2	0		LocBkg	9.82	(29.5/46.56)	13707.00	1396.44	2377.92	242.26
3	0		LocBkg	9.82	(34.79/46.56)	37321.00	3802.19	25506.24	2598.53
4	0		LocBkg	9.82	(40.08/46.56)	17995.00	1833.30	7089.26	722.24
5	0		LocBkg	9.82	(44.84/46.69)	42798.00	4360.18	29336.60	2988.76
6	0		LocBkg	9.82	(50.26/46.3)	61959.00	6312.26	44308.28	4514.04
7	0		LocBkg	9.82	(55.16/46.56)	53489.00	5449.36	38152.40	3886.89
8	0		LocBkg	9.82	(60.45/46.43)	66906.00	6816.25	47447.61	4833.87
9	0		LocBkg	9.82	(24.6/40.34)	15730.00	1602.54	1105.04	112.58
10	0		LocBkg	9.82	(29.76/40.48)	81610.00	8314.27	62226.93	6339.56
11	0		LocBkg	9.82	(34.92/40.34)	40551.00	4131.26	25055.97	2552.65
12	0		LocBkg	9.82	(39.95/40.48)	77633.00	7909.10	58192.79	5928.57
13	0		LocBkg	9.82	(45.11/40.48)	59568.00	6068.67	41795.21	4258.02
14	0		LocBkg	9.82	(50.13/40.48)	23557.00	2399.94	9261.89	943.58
15	0		LocBkg	9.82	(55.16/40.48)	13219.00	1346.73	1445.79	147.29
16	0		LocBkg	9.82	(60.32/40.48)	16622.00	1693.42	2487.92	253.46
-	0		Sum	157.05	--	684514.00	4358.56	440868.58	2807.18
-	0		Ttl	7739.99	--	7577850.00	979.05	7577850.00	979.05
