No	Grp	Name	Type	Area [mm²]	Pos[mm]	od	od/mm²	od-Bkg	(od-Bkg)/mm²
1	0		LocBkg	9.52	(32.41/47.75)	88462.00	9293.97	52958.30	5563.89
2	0		LocBkg	9.52	(37.83/47.62)	28094.00	2951.61	3847.51	404.23
3	0		LocBkg	9.52	(43.52/47.88)	55374.00	5817.69	29983.06	3150.07
4	0		LocBkg	9.52	(49.07/47.62)	52957.00	5563.76	27414.66	2880.23
5	0		LocBkg	9.52	(54.63/47.62)	74358.00	7812.18	45146.23	4743.14
6	0		LocBkg	9.52	(60.19/47.49)	62122.00	6526.65	36731.06	3859.03
7	0		LocBkg	9.52	(65.87/47.49)	91486.00	9611.68	55751.36	5857.34
8	0		LocBkg	9.52	(71.3/47.35)	87802.00	9224.63	54127.89	5686.77
9	0		LocBkg	9.52	(32.67/41.67)	29484.00	3097.64	3220.60	338.36
10	0		LocBkg	9.52	(37.96/41.4)	111648.00	11729.94	63383.40	6659.17
11	0		LocBkg	9.52	(43.65/41.4)	99983.00	10504.39	62826.77	6600.69
12	0		LocBkg	9.52	(49.21/41.27)	106714.00	11211.56	67702.53	7112.95
13	0		LocBkg	9.52	(54.76/41.27)	97341.00	10226.82	60890.43	6397.26
14	0		LocBkg	9.52	(60.32/41.01)	41586.00	4369.10	16987.96	1784.79
15	0		LocBkg	9.52	(65.74/41.01)	27322.00	2870.50	2693.17	282.95
16	0		LocBkg	9.52	(70.9/41.01)	27420.00	2880.79	4325.66	454.46
-	0		Sum	152.29	--	1082153.00	7105.81	587990.58	3860.96
-	0		Ttl	7739.99	--	11663685.00	1506.94	11663685.00	1506.94
