No	Grp	Name	Type	Area [mm²]	Pos[mm]	od	od/mm²	od-Bkg	(od-Bkg)/mm²
1	0		LocBkg	7.05	(11.77/58.73)	38370.00	5441.65	29161.87	4135.75
2	0		LocBkg	7.05	(16.53/58.6)	6302.00	893.75	848.91	120.39
3	0		LocBkg	7.05	(21.16/58.86)	21031.00	2982.62	14719.43	2087.51
4	0		LocBkg	7.05	(25.93/58.73)	9661.00	1370.13	4073.57	577.72
5	0		LocBkg	7.05	(30.69/58.73)	28961.00	4107.26	20663.82	2930.55
6	0		LocBkg	7.05	(35.32/58.73)	34362.00	4873.23	26134.08	3706.34
7	0		LocBkg	7.05	(39.95/58.6)	39593.00	5615.09	29929.40	4244.60
8	0		LocBkg	7.05	(44.58/58.47)	34567.00	4902.30	25877.31	3669.93
9	0		LocBkg	7.05	(11.77/54.76)	8587.00	1217.81	449.34	63.73
10	0		LocBkg	7.05	(16.4/54.89)	40763.00	5781.02	30618.73	4342.36
11	0		LocBkg	7.05	(21.03/55.03)	25879.00	3670.17	16956.33	2404.75
12	0		LocBkg	7.05	(25.93/55.16)	31442.00	4459.12	22252.76	3155.89
13	0		LocBkg	7.05	(30.69/55.29)	42751.00	6062.96	28280.78	4010.79
14	0		LocBkg	7.05	(35.45/55.29)	10021.00	1421.18	426.66	60.51
15	0		LocBkg	7.05	(40.08/55.29)	10335.00	1465.71	152.95	21.69
16	0		LocBkg	7.05	(44.71/55.16)	8700.00	1233.84	572.83	81.24
-	0		Sum	112.82	--	391325.00	3468.62	251118.78	2225.86
-	0		Ttl	7739.99	--	5937468.00	767.12	5937468.00	767.12
