No	Grp	Name	Type	Area [mm²]	Pos[mm]	od	od/mm²	od-Bkg	(od-Bkg)/mm²
1	0		LocBkg	7.09	(28.44/44.71)	46801.00	6604.56	34188.77	4824.72
2	0		LocBkg	7.09	(33.47/44.84)	9969.00	1406.83	1891.01	266.86
3	0		LocBkg	7.09	(38.23/44.84)	23955.00	3380.53	14932.74	2107.31
4	0		LocBkg	7.09	(43.25/44.84)	21673.00	3058.49	12274.36	1732.16
5	0		LocBkg	7.09	(48.41/44.84)	32319.00	4560.86	22240.22	3138.54
6	0		LocBkg	7.09	(53.31/44.71)	50477.00	7123.31	37818.55	5336.95
7	0		LocBkg	7.09	(58.2/44.71)	47272.00	6671.02	35962.82	5075.07
8	0		LocBkg	7.09	(63.1/44.44)	48296.00	6815.53	37614.12	5308.11
9	0		LocBkg	7.09	(28.57/38.89)	12096.00	1706.99	1964.40	277.22
10	0		LocBkg	7.09	(33.33/38.89)	60637.00	8557.09	42594.69	6010.96
11	0		LocBkg	7.09	(38.36/38.89)	43081.00	6079.59	27433.47	3871.41
12	0		LocBkg	7.09	(43.39/38.76)	56077.00	7913.59	37579.07	5303.16
13	0		LocBkg	7.09	(48.54/38.76)	41273.00	5824.45	26523.52	3743.00
14	0		LocBkg	7.09	(53.44/38.76)	20116.00	2838.77	9203.01	1298.73
15	0		LocBkg	7.09	(58.2/38.76)	12211.00	1723.22	3323.01	468.94
16	0		LocBkg	7.09	(62.83/38.62)	11520.00	1625.70	3448.61	486.67
-	0		Sum	113.38	--	537773.00	4743.16	348992.38	3078.11
-	0		Ttl	7739.99	--	8086177.00	1044.73	8086177.00	1044.73
